Code,IPv4,IPv6
aae1 , 41.220.158.81 , 
aae2 , 41.110.61.18 , 2c0f:f858:15:0:face:b00c:0:a7 
aar1 , 89.249.13.145 , 2a00:1f98:ff00:a:face:b00c:0:a7 
aar2 , 212.10.242.145 , 2a03:7400:b03:1:face:b00c:0:a7 
aax1 , 201.62.48.145 , 2804:2bf4:face:0:face:b00c:0:a7 
abb1 , 197.210.92.17 , 
abe1 , 204.186.222.17 , 2606:9400:f800:21f:face:b00c:0:a7 
abj1 , 105.235.119.81 , 2c0f:f590:0:102:face:b00c:0:a7 
abj2 , 105.235.3.81 , 2c0f:f590:0:202:face:b00c:0:a7 
abj3 , 197.29.124.145 , 
abj4 , 197.29.124.81 , 
abj5 , 154.0.29.145 , 
abj6 , 102.67.196.83 , 2c0f:ecf0:400:1:face:b00c:0:a7 
abv1 , 41.190.15.17 , 
abv2 , 197.210.93.21 , 
abv3 , 105.112.127.81 , 
abv4 , 41.217.1.17 , 
abv5 , 129.205.105.210 , 
abv6 , 102.221.190.129 , 2c0f:ef78:10:0:face:b00c:0:a7 
aca1 , 189.233.203.17 , 2806:1050:cbff:ef:face:b00c:0:a7 
acc1 , 41.189.185.17 , 2c0f:f7c0:3000:3:face:b00c:0:a7 
acc2 , 196.172.0.19 , 
acc3 , 41.215.170.17 , 
acc4 , 41.242.138.145 , 
acc5 , 102.176.112.145 , 
acc6 , 41.189.165.17 , 2c0f:f7c0:3000:1:face:b00c:0:a7 
acc7 , 102.132.119.128 , 2c0f:ef78:9:0:face:b00c:0:a7 
acc8 , 129.205.125.83 , 
acc9 , 102.176.114.81 , 
ach1 , 193.135.133.17 , 2001:918:ff44:750:face:b00c:0:a7 
adb1 , 212.65.158.145 , 
adb2 , 31.145.66.17 , 2001:930:3b:0:face:b00c:0:a7 
adb3 , 195.175.100.18 , 2a01:358:5030:1:face:b00c:0:a7 
adb4 , 176.240.150.147 , 
adb5 , 212.154.127.212 , 2a02:ff0:6fe:fffe:face:b00c:0:a7 
adb6 , 85.153.194.20 , 2a02:e0:3126:1:face:b00c:0:a7 
adb7 , 176.240.158.84 , 2a00:1d58:f01d:face:face:b00c:0:a7 
add1 , 196.188.31.17 , 
adz1 , 186.102.190.209 , 
adz2 , 186.102.186.83 , 
adz3 , 191.156.214.84 , 2800:800:960:b:face:b00c:0:a7 
aep1 , 186.0.234.81 , 2800:630:830:3:face:b00c:0:a7 
afa1 , 138.97.176.81 , 
afa2 , 179.63.243.210 , 
afl1 , 177.221.193.82 , 2804:2d90:2000:1:face:b00c:0:a7 
agc1 , 157.240.133.17 , 2001:559:80a0:0:face:b00c:0:a7 
agc2 , 68.65.124.209 , 2607:3180:b000:4:face:b00c:0:a7 
agc3 , 65.210.117.129 , 2600:803:1504:0:face:b00c:0:a7 
agp1 , 212.145.235.145 , 
agp2 , 212.225.141.81 , 
agp3 , 185.49.171.145 , 
agr1 , 49.44.90.17 , 2405:200:1611:2885:face:b00c:0:a7 
agr2 , 1.38.9.209 , 2402:3a80:c008:13:face:b00c:0:a7 
agt1 , 143.255.143.84 , 2803:6940:200:fb:face:b00c:0:a7 
agt2 , 45.170.130.21 , 2803:6940:200:fc:face:b00c:0:a7 
agt3 , 167.250.39.19 , 
agu1 , 187.254.51.83 , 2806:310:7:0:face:b00c:0:a7 
agu2 , 187.252.165.21 , 
agu3 , 189.233.209.17 , 2806:1030:cbff:df:face:b00c:0:a7 
aip1 , 49.44.235.20 , 2405:200:1630:ff8c:face:b00c:0:a7 
aip2 , 117.245.147.83 , 2001:4490:3ffc:20:face:b00c:0:a7 
ajl1 , 103.161.3.209 , 
aju1 , 179.181.133.81 , 2804:1b1:1:9001:face:b00c:0:a7 
aju2 , 179.232.3.209 , 2804:14c:43f9:5:face:b00c:0:a7 
aju3 , 177.11.153.145 , 2804:1420:1000:41:face:b00c:0:a7 
aju4 , 177.53.221.17 , 2804:15b8:0:1:face:b00c:0:a7 
aju5 , 179.96.189.81 , 2804:1560:0:4:face:b00c:0:a7 
aju6 , 191.7.136.145 , 2804:1440:e000:2:face:b00c:0:a7 
aju7 , 177.70.162.85 , 2804:5dc:80:1:face:b00c:0:a7 
aju8 , 177.20.210.17 , 2804:328:1:0:face:b00c:0:a7 
akc1 , 204.180.200.17 , 2600:2:300:2:face:b00c:0:a7 
akx1 , 212.96.93.145 , 2a03:32c0:1008:4000:face:b00c:0:a7 
akx2 , 91.185.14.145 , 2a00:ab40:5000:8:face:b00c:0:a7 
akx3 , 176.222.165.17 , 
ala1 , 149.3.192.17 , 
ala2 , 217.76.74.209 , 2a03:32c0:8:4000:face:b00c:0:a7 
ala3 , 37.99.62.17 , 
ala4 , 178.88.114.145 , 
alc1 , 109.167.60.81 , 2a00:8a84:7f0:3:face:b00c:0:a7 
alc2 , 87.235.243.209 , 
amd1 , 49.44.88.81 , 2405:200:1609:2885:face:b00c:0:a7 
amd2 , 45.64.189.145 , 2402:7780:1:fb:face:b00c:0:a7 
amd3 , 1.38.7.17 , 2402:3a80:c000:13:face:b00c:0:a7 
amd4 , 43.250.166.209 , 
amd5 , 182.79.156.17 , 2404:a800:6:21:face:b00c:0:a7 
amd6 , 223.196.153.17 , 2400:c700:300:0:face:b00c:0:a7 
amd7 , 203.187.230.81 , 
amd8 , 117.198.142.85 , 2001:4490:3ffc:8025:face:b00c:0:a7 
amd9 , 103.145.9.85 , 2402:6a40:1:3:face:b00c:0:a7 
amd10 , 1.23.49.17 , 2401:3c0:104:2:face:b00c:0:a7 
amm1 , 151.248.101.209 , 2a02:f040:7:1:face:b00c:0:a7 
anf1 , 186.156.255.209 , 2800:150:3:6:face:b00c:0:a7 
anf2 , 201.219.235.146 , 2803:c180:2b2:0:face:b00c:0:a7 
anf3 , 200.29.39.84 , 
anf4 , 200.29.39.18 , 
anf5 , 190.110.157.146 , 
anu1 , 208.66.49.17 , 
anu2 , 209.59.89.17 , 
aoi1 , 2.228.46.147 , 
aoi2 , 151.99.202.146 , 
apa1 , 157.240.131.17 , 2001:559:809d:0:face:b00c:0:a7 
apl1 , 197.218.22.81 , 
apq1 , 168.181.115.81 , 2804:788:c0:0:face:b00c:0:a7 
apq2 , 179.97.39.146 , 2804:2bf0:100:1:face:b00c:0:a7 
apq3 , 201.182.184.82 , 2804:4318:0:1:face:b00c:0:a7 
apq4 , 168.0.9.149 , 2804:2c6c:0:3:face:b00c:0:a7 
apq5 , 138.99.30.83 , 2804:1950:0:2000:face:b00c:0:a7 
apq6 , 186.235.129.210 , 2804:1dc:0:127:face:b00c:0:a7 
apq7 , 177.223.113.210 , 2804:1410:100:275:face:b00c:0:a7 
apq8 , 201.182.185.20 , 2804:4318:0:5:face:b00c:0:a7 
apw1 , 202.87.210.211 , 2402:ae80:8:1:face:b00c:0:a7 
apw2 , 202.4.35.19 , 
aqa1 , 201.0.223.145 , 2001:12e0:803:23:face:b00c:0:a7 
aqa2 , 201.0.223.17 , 2001:12e0:803:38:face:b00c:0:a7 
aqa3 , 187.2.201.209 , 2804:14c:3df9:5:face:b00c:0:a7 
aqa4 , 201.33.193.81 , 2804:c30:0:1:face:b00c:0:a7 
aqa5 , 170.79.166.17 , 2804:2928:0:2:face:b00c:0:a7 
aqa6 , 189.50.226.20 , 2804:1b5c:2000:2:face:b00c:0:a7 
aqb1 , 186.189.194.149 , 2803:c800:0:87:face:b00c:0:a7 
aqp1 , 179.6.125.17 , 2800:200:2008:4800:face:b00c:0:a7 
aqp2 , 190.43.40.145 , 2001:1388:49c9:3:face:b00c:0:a7 
aqp3 , 179.6.188.145 , 2800:200:28a0:0:face:b00c:0:a7 
aqp4 , 190.235.152.146 , 
aqp5 , 179.6.178.19 , 2800:200:2008:4805:face:b00c:0:a7 
aqp6 , 45.230.250.147 , 
