Domain,IPv4,IPv6
cache1-maa1.steamcontent.com , 155.133.232.66 , 
cache1-lhr1.steamcontent.com , 162.254.196.3 , 
cache2-lhr1.steamcontent.com , 162.254.196.35 , 
cache3-lhr1.steamcontent.com , 162.254.196.2 , 
cache4-lhr1.steamcontent.com , 162.254.196.36 , 
cache5-lhr1.steamcontent.com , 162.254.196.34 , 
cache6-lhr1.steamcontent.com , 162.254.196.37 , 
cache8-lhr1.steamcontent.com , 162.254.196.38 , 
cache10-lhr1.steamcontent.com , 162.254.196.39 , 
cache11-lhr1.steamcontent.com , 162.254.196.8 , 
cache12-lhr1.steamcontent.com , 162.254.196.40 , 
cache13-lhr1.steamcontent.com , 162.254.196.9 , 
cache14-lhr1.steamcontent.com , 162.254.196.41 , 
cache15-lhr1.steamcontent.com , 162.254.196.10 , 
cache16-lhr1.steamcontent.com , 162.254.196.42 , 
cache19-lhr1.steamcontent.com , 162.254.196.12 , 
cache20-lhr1.steamcontent.com , 162.254.196.44 , 
cache21-lhr1.steamcontent.com , 162.254.196.13 , 
cache22-lhr1.steamcontent.com , 162.254.196.45 , 
cache23-lhr1.steamcontent.com , 162.254.196.14 , 
cache24-lhr1.steamcontent.com , 162.254.196.46 , 
cache25-lhr1.steamcontent.com , 162.254.196.15 , 
cache26-lhr1.steamcontent.com , 162.254.196.16 , 
cache27-lhr1.steamcontent.com , 162.254.196.47 , 
cache28-lhr1.steamcontent.com , 162.254.196.48 , 
cache29-lhr1.steamcontent.com , 162.254.196.17 , 
cache30-lhr1.steamcontent.com , 162.254.196.49 , 
cache31-lhr1.steamcontent.com , 162.254.196.18 , 
cache32-lhr1.steamcontent.com , 162.254.196.50 , 
cache33-lhr1.steamcontent.com , 162.254.196.19 , 
cache34-lhr1.steamcontent.com , 162.254.196.51 , 
cache35-lhr1.steamcontent.com , 162.254.196.20 , 
cache2-ams1.steamcontent.com , 155.133.248.13 , 
cache3-ams1.steamcontent.com , 155.133.248.14 , 
cache4-ams1.steamcontent.com , 155.133.248.15 , 
cache5-ams1.steamcontent.com , 155.133.248.16 , 
cache6-ams1.steamcontent.com , 155.133.248.17 , 
cache7-ams1.steamcontent.com , 155.133.248.18 , 
cache8-ams1.steamcontent.com , 155.133.248.19 , 
cache9-ams1.steamcontent.com , 155.133.248.20 , 
cache10-ams1.steamcontent.com , 155.133.248.21 , 
cache11-ams1.steamcontent.com , 155.133.248.22 , 
cache12-ams1.steamcontent.com , 155.133.248.23 , 
cache13-ams1.steamcontent.com , 155.133.248.24 , 
cache14-ams1.steamcontent.com , 155.133.248.25 , 
cache15-ams1.steamcontent.com , 155.133.248.26 , 
cache16-ams1.steamcontent.com , 155.133.248.27 , 
cache17-ams1.steamcontent.com , 155.133.248.28 , 
cache18-ams1.steamcontent.com , 155.133.248.29 , 
cache1-sgp1.steamcontent.com , 103.10.124.17 , 
cache2-sgp1.steamcontent.com , 103.10.124.18 , 
cache3-sgp1.steamcontent.com , 103.10.124.69 , 
cache4-sgp1.steamcontent.com , 103.10.124.20 , 
cache5-sgp1.steamcontent.com , 103.10.124.70 , 
cache6-sgp1.steamcontent.com , 103.10.124.22 , 
cache7-sgp1.steamcontent.com , 103.10.124.71 , 
cache8-sgp1.steamcontent.com , 103.10.124.19 , 
cache9-sgp1.steamcontent.com , 103.10.124.72 , 
cache10-sgp1.steamcontent.com , 103.10.124.21 , 
cache11-sgp1.steamcontent.com , 103.10.124.73 , 
cache12-sgp1.steamcontent.com , 103.10.124.68 , 
cache1-sto1.steamcontent.com , 162.254.198.78 , 
cache2-sto1.steamcontent.com , 162.254.198.14 , 
cache3-sto1.steamcontent.com , 162.254.198.81 , 
cache4-sto1.steamcontent.com , 162.254.198.17 , 
cache5-sto1.steamcontent.com , 162.254.198.82 , 
cache6-sto1.steamcontent.com , 162.254.198.18 , 
cache7-sto1.steamcontent.com , 162.254.198.83 , 
cache8-sto1.steamcontent.com , 162.254.198.19 , 
cache9-sto1.steamcontent.com , 162.254.198.84 , 
cache10-sto1.steamcontent.com , 162.254.198.20 , 
cache1-sto2.steamcontent.com , 155.133.252.12 , 
cache2-sto2.steamcontent.com , 155.133.252.18 , 
cache3-sto2.steamcontent.com , 155.133.252.14 , 
cache4-sto2.steamcontent.com , 155.133.252.19 , 
cache5-sto2.steamcontent.com , 155.133.252.10 , 
cache6-sto2.steamcontent.com , 155.133.252.13 , 
cache7-sto2.steamcontent.com , 155.133.252.20 , 
cache8-sto2.steamcontent.com , 155.133.252.9 , 
cache9-sto2.steamcontent.com , 155.133.252.21 , 
cache10-sto2.steamcontent.com , 155.133.252.22 , 
cache1-fra1.steamcontent.com , 162.254.197.12 , 
cache2-fra1.steamcontent.com , 162.254.197.13 , 
cache3-fra1.steamcontent.com , 162.254.197.14 , 
cache4-fra1.steamcontent.com , 162.254.197.15 , 
cache5-fra1.steamcontent.com , 162.254.197.16 , 
cache6-fra1.steamcontent.com , 162.254.197.17 , 
cache7-fra1.steamcontent.com , 162.254.197.18 , 
cache8-fra1.steamcontent.com , 162.254.197.19 , 
cache9-fra1.steamcontent.com , 162.254.197.20 , 
cache10-fra1.steamcontent.com , 162.254.197.21 , 
cache11-fra1.steamcontent.com , 162.254.197.22 , 
cache12-fra1.steamcontent.com , 162.254.197.23 , 
cache13-fra1.steamcontent.com , 162.254.197.24 , 
cache14-fra1.steamcontent.com , 162.254.197.25 , 
cache15-fra1.steamcontent.com , 162.254.197.26 , 
cache16-fra1.steamcontent.com , 162.254.197.27 , 
cache17-fra1.steamcontent.com , 162.254.197.28 , 
cache20-fra1.steamcontent.com , 162.254.197.31 , 
cache21-fra1.steamcontent.com , 162.254.197.82 , 
cache22-fra1.steamcontent.com , 162.254.197.83 , 
cache23-fra1.steamcontent.com , 162.254.197.84 , 
cache24-fra1.steamcontent.com , 162.254.197.85 , 
cache25-fra1.steamcontent.com , 162.254.197.86 , 
cache26-fra1.steamcontent.com , 162.254.197.10 , 
cache27-fra1.steamcontent.com , 162.254.197.88 , 
cache28-fra1.steamcontent.com , 162.254.197.89 , 
cache29-fra1.steamcontent.com , 162.254.197.90 , 
cache30-fra1.steamcontent.com , 162.254.197.91 , 
cache31-fra1.steamcontent.com , 162.254.197.92 , 
cache32-fra1.steamcontent.com , 162.254.197.93 , 
cache33-fra1.steamcontent.com , 162.254.197.11 , 
cache34-fra1.steamcontent.com , 162.254.197.95 , 
cache35-fra1.steamcontent.com , 162.254.197.96 , 
cache36-fra1.steamcontent.com , 162.254.197.97 , 
cache37-fra1.steamcontent.com , 162.254.197.98 , 
cache38-fra1.steamcontent.com , 162.254.197.99 , 
cache39-fra1.steamcontent.com , 162.254.197.100 , 
cache40-fra1.steamcontent.com , 162.254.197.101 , 
cache41-fra1.steamcontent.com , 162.254.197.102 , 
cache42-fra1.steamcontent.com , 162.254.197.103 , 
cache43-fra1.steamcontent.com , 162.254.197.104 , 
cache44-fra1.steamcontent.com , 162.254.197.105 , 
cache45-fra1.steamcontent.com , 162.254.197.106 , 
cache46-fra1.steamcontent.com , 162.254.197.107 , 
cache47-fra1.steamcontent.com , 162.254.197.108 , 
cache48-fra1.steamcontent.com , 162.254.197.109 , 
cache49-fra1.steamcontent.com , 162.254.197.110 , 
cache50-fra1.steamcontent.com , 162.254.197.111 , 
cache51-fra1.steamcontent.com , 155.133.250.98 , 
cache52-fra1.steamcontent.com , 155.133.250.66 , 
cache53-fra1.steamcontent.com , 155.133.250.99 , 
cache54-fra1.steamcontent.com , 155.133.250.67 , 
cache55-fra1.steamcontent.com , 155.133.250.100 , 
cache56-fra1.steamcontent.com , 155.133.250.68 , 
cache57-fra1.steamcontent.com , 155.133.250.101 , 
cache58-fra1.steamcontent.com , 155.133.250.69 , 
cache59-fra1.steamcontent.com , 155.133.250.102 , 
cache61-fra1.steamcontent.com , 155.133.250.70 , 
cache62-fra1.steamcontent.com , 155.133.250.103 , 
cache63-fra1.steamcontent.com , 155.133.250.71 , 
cache64-fra1.steamcontent.com , 155.133.250.104 , 
cache65-fra1.steamcontent.com , 155.133.250.72 , 
cache66-fra1.steamcontent.com , 155.133.250.105 , 
cache67-fra1.steamcontent.com , 155.133.250.73 , 
cache68-fra1.steamcontent.com , 155.133.250.106 , 
cache69-fra1.steamcontent.com , 155.133.250.74 , 
cache1-par1.steamcontent.com , 185.25.182.3 , 
cache2-par1.steamcontent.com , 185.25.182.35 , 
cache3-par1.steamcontent.com , 185.25.182.4 , 
cache4-par1.steamcontent.com , 185.25.182.36 , 
cache5-par1.steamcontent.com , 185.25.182.5 , 
cache6-par1.steamcontent.com , 185.25.182.37 , 
cache7-par1.steamcontent.com , 185.25.182.6 , 
cache8-par1.steamcontent.com , 185.25.182.38 , 
cache1-iad1.steamcontent.com , 162.254.192.3 , 
cache2-iad1.steamcontent.com , 162.254.192.35 , 
cache3-iad1.steamcontent.com , 162.254.192.4 , 
cache4-iad1.steamcontent.com , 162.254.192.36 , 
cache5-iad1.steamcontent.com , 162.254.192.5 , 
cache6-iad1.steamcontent.com , 162.254.192.37 , 
cache7-iad1.steamcontent.com , 162.254.192.6 , 
cache8-iad1.steamcontent.com , 162.254.192.38 , 
cache9-iad1.steamcontent.com , 162.254.192.7 , 
cache10-iad1.steamcontent.com , 162.254.192.39 , 
cache11-iad1.steamcontent.com , 162.254.192.8 , 
cache12-iad1.steamcontent.com , 162.254.192.40 , 
cache13-iad1.steamcontent.com , 162.254.192.9 , 
cache14-iad1.steamcontent.com , 162.254.192.41 , 
cache15-iad1.steamcontent.com , 162.254.192.10 , 
cache16-iad1.steamcontent.com , 162.254.192.42 , 
cache17-iad1.steamcontent.com , 162.254.192.11 , 
cache18-iad1.steamcontent.com , 162.254.192.43 , 
cache19-iad1.steamcontent.com , 162.254.192.12 , 
cache20-iad1.steamcontent.com , 162.254.192.44 , 
cache21-iad1.steamcontent.com , 162.254.192.13 , 
cache22-iad1.steamcontent.com , 162.254.192.45 , 
cache23-iad1.steamcontent.com , 162.254.192.14 , 
cache24-iad1.steamcontent.com , 162.254.192.46 , 
cache25-iad1.steamcontent.com , 162.254.192.15 , 
cache26-iad1.steamcontent.com , 162.254.192.47 , 
cache27-iad1.steamcontent.com , 162.254.192.18 , 
cache28-iad1.steamcontent.com , 162.254.192.48 , 
cache1-hkg1.steamcontent.com , 153.254.86.147 , 2404:3fc0:2:101::99fe:5693 
cache2-hkg1.steamcontent.com , 153.254.86.148 , 
cache3-hkg1.steamcontent.com , 153.254.86.131 , 
cache4-hkg1.steamcontent.com , 153.254.86.132 , 
cache5-hkg1.steamcontent.com , 153.254.86.133 , 
cache6-hkg1.steamcontent.com , 153.254.86.149 , 
cache1-lax1.steamcontent.com , 162.254.195.12 , 
cache2-lax1.steamcontent.com , 162.254.195.13 , 
cache3-lax1.steamcontent.com , 162.254.195.14 , 
cache4-lax1.steamcontent.com , 162.254.195.34 , 
cache5-lax1.steamcontent.com , 162.254.195.35 , 
cache6-lax1.steamcontent.com , 162.254.195.36 , 
cache7-lax1.steamcontent.com , 162.254.195.37 , 
cache8-lax1.steamcontent.com , 162.254.195.38 , 
cache9-lax1.steamcontent.com , 162.254.195.20 , 
cache10-lax1.steamcontent.com , 162.254.195.21 , 
cache11-lax1.steamcontent.com , 162.254.195.39 , 
cache12-lax1.steamcontent.com , 162.254.195.40 , 
cache13-lax1.steamcontent.com , 162.254.195.24 , 
cache14-lax1.steamcontent.com , 162.254.195.41 , 
cache15-lax1.steamcontent.com , 162.254.195.26 , 
cache16-lax1.steamcontent.com , 162.254.195.42 , 
cache17-lax1.steamcontent.com , 162.254.195.28 , 
cache18-lax1.steamcontent.com , 162.254.195.43 , 
cache19-lax1.steamcontent.com , 162.254.195.30 , 
cache20-lax1.steamcontent.com , 162.254.195.44 , 
cache21-lax1.steamcontent.com , 162.254.195.15 , 
cache1-mad1.steamcontent.com , 155.133.246.12 , 
cache2-mad1.steamcontent.com , 155.133.246.18 , 
cache3-mad1.steamcontent.com , 155.133.246.10 , 
cache4-mad1.steamcontent.com , 155.133.246.19 , 
cache5-mad1.steamcontent.com , 155.133.246.4 , 
cache6-mad1.steamcontent.com , 155.133.246.20 , 
cache1-ord1.steamcontent.com , 162.254.193.12 , 
cache2-ord1.steamcontent.com , 162.254.193.13 , 
cache3-ord1.steamcontent.com , 162.254.193.14 , 
cache4-ord1.steamcontent.com , 162.254.193.36 , 
cache5-ord1.steamcontent.com , 162.254.193.37 , 
cache6-ord1.steamcontent.com , 162.254.193.38 , 
cache8-ord1.steamcontent.com , 162.254.193.40 , 
cache9-ord1.steamcontent.com , 162.254.193.20 , 
cache10-ord1.steamcontent.com , 162.254.193.21 , 
cache11-ord1.steamcontent.com , 162.254.193.22 , 
cache12-ord1.steamcontent.com , 162.254.193.23 , 
cache13-ord1.steamcontent.com , 162.254.193.24 , 
cache14-ord1.steamcontent.com , 162.254.193.48 , 
cache15-ord1.steamcontent.com , 162.254.193.49 , 
cache16-ord1.steamcontent.com , 162.254.193.50 , 
cache17-ord1.steamcontent.com , 162.254.193.51 , 
cache18-ord1.steamcontent.com , 162.254.193.52 , 
cache19-ord1.steamcontent.com , 162.254.193.25 , 
cache20-ord1.steamcontent.com , 162.254.193.26 , 
cache1-lax1.steamcontent.com , 162.254.195.12 , 
cache2-lax1.steamcontent.com , 162.254.195.13 , 
cache3-lax1.steamcontent.com , 162.254.195.14 , 
cache4-lax1.steamcontent.com , 162.254.195.34 , 
cache5-lax1.steamcontent.com , 162.254.195.35 , 
cache6-lax1.steamcontent.com , 162.254.195.36 , 
cache7-lax1.steamcontent.com , 162.254.195.37 , 
cache8-lax1.steamcontent.com , 162.254.195.38 , 
cache9-lax1.steamcontent.com , 162.254.195.20 , 
cache10-lax1.steamcontent.com , 162.254.195.21 , 
cache11-lax1.steamcontent.com , 162.254.195.39 , 
cache12-lax1.steamcontent.com , 162.254.195.40 , 
cache13-lax1.steamcontent.com , 162.254.195.24 , 
cache14-lax1.steamcontent.com , 162.254.195.41 , 
cache15-lax1.steamcontent.com , 162.254.195.26 , 
cache16-lax1.steamcontent.com , 162.254.195.42 , 
cache17-lax1.steamcontent.com , 162.254.195.28 , 
cache18-lax1.steamcontent.com , 162.254.195.43 , 
cache19-lax1.steamcontent.com , 162.254.195.30 , 
cache20-lax1.steamcontent.com , 162.254.195.44 , 
cache21-lax1.steamcontent.com , 162.254.195.15 , 
cache1-okc1.steamcontent.com , 155.133.254.3 , 2620:f9:3:100::9b85:fe03 
cache2-okc1.steamcontent.com , 155.133.254.19 , 2620:f9:3:101::9b85:fe13 
cache3-okc1.steamcontent.com , 155.133.254.4 , 
cache4-okc1.steamcontent.com , 155.133.254.20 , 
cache5-okc1.steamcontent.com , 155.133.254.5 , 
cache6-okc1.steamcontent.com , 155.133.254.21 , 
cache7-okc1.steamcontent.com , 155.133.254.6 , 
cache8-okc1.steamcontent.com , 155.133.254.22 , 
cache1-atl1.steamcontent.com , 162.254.199.131 , 
cache2-atl1.steamcontent.com , 162.254.199.132 , 
cache3-atl1.steamcontent.com , 162.254.199.133 , 
cache4-atl1.steamcontent.com , 162.254.199.134 , 
cache6-atl1.steamcontent.com , 162.254.199.195 , 
cache7-atl1.steamcontent.com , 162.254.199.196 , 
cache8-atl1.steamcontent.com , 162.254.199.197 , 
cache9-atl1.steamcontent.com , 162.254.199.198 , 
cache10-atl1.steamcontent.com , 162.254.199.140 , 
cache11-atl1.steamcontent.com , 162.254.199.199 , 
cache1-sea1.steamcontent.com , 205.196.6.165 , 
cache2-sea1.steamcontent.com , 205.196.6.170 , 
cache3-sea1.steamcontent.com , 205.196.6.171 , 
cache4-sea1.steamcontent.com , 205.196.6.142 , 
cache5-sea1.steamcontent.com , 205.196.6.173 , 
cache6-sea1.steamcontent.com , 205.196.6.143 , 
cache8-sea1.steamcontent.com , 205.196.6.144 , 
cache10-sea1.steamcontent.com , 205.196.6.146 , 
cache11-sea1.steamcontent.com , 205.196.6.114 , 
cache1-vie1.steamcontent.com , 146.66.155.10 , 
cache2-vie1.steamcontent.com , 146.66.155.21 , 
cache3-vie1.steamcontent.com , 146.66.155.4 , 
cache4-vie1.steamcontent.com , 146.66.155.19 , 
cache5-vie1.steamcontent.com , 146.66.155.6 , 
cache6-vie1.steamcontent.com , 146.66.155.20 , 
cache7-vie1.steamcontent.com , 146.66.155.66 , 
cache8-vie1.steamcontent.com , 146.66.155.67 , 
cache9-vie1.steamcontent.com , 146.66.155.68 , 
cache10-vie1.steamcontent.com , 146.66.155.69 , 
cache11-vie1.steamcontent.com , 146.66.155.70 , 
cache12-vie1.steamcontent.com , 146.66.155.71 , 
cache1-tyo1.steamcontent.com , 155.133.245.4 , 
cache2-tyo1.steamcontent.com , 155.133.245.5 , 
cache1-syd1.steamcontent.com , 103.10.125.18 , 
cache2-syd1.steamcontent.com , 103.10.125.19 , 
cache3-syd1.steamcontent.com , 103.10.125.3 , 
cache1-gru1.steamcontent.com , 205.185.194.194 , 2602:801:f005:105::cdb9:c2c2 
cache2-gru1.steamcontent.com , 205.185.194.4 , 
cache3-gru1.steamcontent.com , 205.185.194.18 , 
cache4-gru1.steamcontent.com , 205.185.194.10 , 
cache6-gru1.steamcontent.com , 205.185.194.195 , 2602:801:f005:105::cdb9:c2c3 
cache7-gru1.steamcontent.com , 205.185.194.210 , 2602:801:f005:104::cdb9:c2d2 
cache8-gru1.steamcontent.com , 205.185.194.211 , 2602:801:f005:104::cdb9:c2d3 
